county,precinct,office,district,party,candidate,votes
OUTAGAMIE,ALL,President of the US,,REP,Trump,60824
OZAUKEE,ALL,President of the US,,REP,Trump,34501
PEPIN,ALL,President of the US,,REP,Trump,2798
PIERCE,ALL,President of the US,,REP,Trump,14416
POLK,ALL,President of the US,,REP,Trump,18295
PORTAGE,ALL,President of the US,,REP,Trump,20986
PRICE,ALL,President of the US,,REP,Trump,5763
RACINE,ALL,President of the US,,REP,Trump,56347
RICHLAND,ALL,President of the US,,REP,Trump,5207
ROCK,ALL,President of the US,,REP,Trump,40217
RUSK,ALL,President of the US,,REP,Trump,5761
ST. CROIX,ALL,President of the US,,REP,Trump,23870
SAUK,ALL,President of the US,,REP,Trump,18795
SAWYER,ALL,President of the US,,REP,Trump,6422
SHAWANO,ALL,President of the US,,REP,Trump,15773
SHEBOYGAN,ALL,President of the US,,REP,Trump,38758
TAYLOR,ALL,President of the US,,REP,Trump,8209
TREMPEALEAU,ALL,President of the US,,REP,Trump,9661
VERNON,ALL,President of the US,,REP,Trump,8760
VILAS,ALL,President of the US,,REP,Trump,9837
WALWORTH,ALL,President of the US,,REP,Trump,36574
WASHBURN,ALL,President of the US,,REP,Trump,6966
WASHINGTON,ALL,President of the US,,REP,Trump,61606
WAUKESHA,ALL,President of the US,,REP,Trump,162751
WAUPACA,ALL,President of the US,,REP,Trump,20057
WAUSHARA,ALL,President of the US,,REP,Trump,9554
WINNEBAGO,ALL,President of the US,,REP,Trump,49179
WOOD,ALL,President of the US,,REP,Trump,24995
