county,precinct,office,district,party,candidate,votes
Dallas,ALL,President of the US,,REP,Trump,32329
Davis,ALL,President of the US,,REP,Trump,3027
Decatur,ALL,President of the US,,REP,Trump,2711
Delaware,ALL,President of the US,,REP,Trump,6976
Des Moines,ALL,President of the US,,REP,Trump,10776
Dickinson,ALL,President of the US,,REP,Trump,7770
Dubuque,ALL,President of the US,,REP,Trump,28223
Emmet,ALL,President of the US,,REP,Trump,3422
Fayette,ALL,President of the US,,REP,Trump,6325
Floyd,ALL,President of the US,,REP,Trump,4731
Franklin,ALL,President of the US,,REP,Trump,3420
Fremont,ALL,President of the US,,REP,Trump,2711
Greene,ALL,President of the US,,REP,Trump,3210
Grundy,ALL,President of the US,,REP,Trump,4996
Guthrie,ALL,President of the US,,REP,Trump,4445
Hamilton,ALL,President of the US,,REP,Trump,5002
Hancock,ALL,President of the US,,REP,Trump,4335
Hardin,ALL,President of the US,,REP,Trump,5785
Harrison,ALL,President of the US,,REP,Trump,5566
Henry,ALL,President of the US,,REP,Trump,6439
Howard,ALL,President of the US,,REP,Trump,3157
Humboldt,ALL,President of the US,,REP,Trump,3762
Ida,ALL,President of the US,,REP,Trump,2769
Iowa,ALL,President of the US,,REP,Trump,6067
Jackson,ALL,President of the US,,REP,Trump,7074
Jasper,ALL,President of the US,,REP,Trump,12701
Jefferson,ALL,President of the US,,REP,Trump,4350
Johnson,ALL,President of the US,,REP,Trump,26069
Jones,ALL,President of the US,,REP,Trump,6818
Keokuk,ALL,President of the US,,REP,Trump,3869
Kossuth,ALL,President of the US,,REP,Trump,5973
Lee,ALL,President of the US,,REP,Trump,10148
Linn,ALL,President of the US,,REP,Trump,54213
Louisa,ALL,President of the US,,REP,Trump,3582
Lucas,ALL,President of the US,,REP,Trump,3399
Lyon,ALL,President of the US,,REP,Trump,5896
Madison,ALL,President of the US,,REP,Trump,6851
Mahaska,ALL,President of the US,,REP,Trump,8018
Marion,ALL,President of the US,,REP,Trump,13289
Marshall,ALL,President of the US,,REP,Trump,9812
Mills,ALL,President of the US,,REP,Trump,5647
Mitchell,ALL,President of the US,,REP,Trump,3736
Monona,ALL,President of the US,,REP,Trump,3331
Monroe,ALL,President of the US,,REP,Trump,3104
Montgomery,ALL,President of the US,,REP,Trump,3482
Muscatine,ALL,President of the US,,REP,Trump,11149
O'Brien,ALL,President of the US,,REP,Trump,5995
Osceola,ALL,President of the US,,REP,Trump,2621
Page,ALL,President of the US,,REP,Trump,5153
Palo Alto,ALL,President of the US,,REP,Trump,3576
Plymouth,ALL,President of the US,,REP,Trump,10654
Pocahontas,ALL,President of the US,,REP,Trump,2727
Polk,ALL,President of the US,,REP,Trump,112181
Pottawattamie,ALL,President of the US,,REP,Trump,26335
Poweshiek,ALL,President of the US,,REP,Trump,5745
Ringgold,ALL,President of the US,,REP,Trump,2014
Sac,ALL,President of the US,,REP,Trump,4100
Scott,ALL,President of the US,,REP,Trump,45947
Shelby,ALL,President of the US,,REP,Trump,281
Sioux,ALL,President of the US,,REP,Trump,16022
Story,ALL,President of the US,,REP,Trump,21567
Tama,ALL,President of the US,,REP,Trump,5379
Taylor,ALL,President of the US,,REP,Trump,2381
