county,candidate,votes,precinct,office,district,party
St. Lucie,Stein,529,ALL,President of the US,,GRN
St. Lucie,Ayyadurai,0,ALL,President of the US,,WRI
St. Lucie,Fox,0,ALL,President of the US,,WRI
Sumter,Trump,72130,ALL,President of the US,,REP
Sumter,Harris,32540,ALL,President of the US,,DEM
Sumter,Oliver,249,ALL,President of the US,,LIB
Sumter,DelaCruz,37,ALL,President of the US,,PSL
Sumter,Terry,54,ALL,President of the US,,CPF
Sumter,Sonski,37,ALL,President of the US,,ASP
Sumter,Stein,153,ALL,President of the US,,GRN
Sumter,Ayyadurai,1,ALL,President of the US,,WRI
Sumter,Fox,0,ALL,President of the US,,WRI
Suwannee,Trump,17561,ALL,President of the US,,REP
Suwannee,Harris,4217,ALL,President of the US,,DEM
Suwannee,Oliver,38,ALL,President of the US,,LIB
Suwannee,DelaCruz,9,ALL,President of the US,,PSL
Suwannee,Terry,12,ALL,President of the US,,CPF
Suwannee,Sonski,7,ALL,President of the US,,ASP
Suwannee,Stein,47,ALL,President of the US,,GRN
Suwannee,Ayyadurai,0,ALL,President of the US,,WRI
Suwannee,Fox,0,ALL,President of the US,,WRI
Taylor,Trump,7953,ALL,President of the US,,REP
Taylor,Harris,1990,ALL,President of the US,,DEM
Taylor,Oliver,18,ALL,President of the US,,LIB
Taylor,DelaCruz,8,ALL,President of the US,,PSL
Taylor,Terry,6,ALL,President of the US,,CPF
Taylor,Sonski,2,ALL,President of the US,,ASP
Taylor,Stein,18,ALL,President of the US,,GRN
Taylor,Ayyadurai,0,ALL,President of the US,,WRI
Taylor,Fox,0,ALL,President of the US,,WRI
Union,Trump,5224,ALL,President of the US,,REP
Union,Harris,971,ALL,President of the US,,DEM
Union,Oliver,14,ALL,President of the US,,LIB
Union,DelaCruz,3,ALL,President of the US,,PSL
Union,Terry,7,ALL,President of the US,,CPF
Union,Sonski,5,ALL,President of the US,,ASP
Union,Stein,7,ALL,President of the US,,GRN
Union,Ayyadurai,0,ALL,President of the US,,WRI
Union,Fox,0,ALL,President of the US,,WRI
Volusia,Trump,187655,ALL,President of the US,,REP
Volusia,Harris,120072,ALL,President of the US,,DEM
Volusia,Oliver,1012,ALL,President of the US,,LIB
Volusia,DelaCruz,258,ALL,President of the US,,PSL
Volusia,Terry,162,ALL,President of the US,,CPF
Volusia,Sonski,222,ALL,President of the US,,ASP
Volusia,Stein,1017,ALL,President of the US,,GRN
Volusia,Ayyadurai,0,ALL,President of the US,,WRI
Volusia,Fox,0,ALL,President of the US,,WRI
Wakulla,Trump,14246,ALL,President of the US,,REP
Wakulla,Harris,5440,ALL,President of the US,,DEM
Wakulla,Oliver,75,ALL,President of the US,,LIB
Wakulla,DelaCruz,13,ALL,President of the US,,PSL
Wakulla,Terry,15,ALL,President of the US,,CPF
Wakulla,Sonski,17,ALL,President of the US,,ASP
Wakulla,Stein,49,ALL,President of the US,,GRN
Wakulla,Ayyadurai,0,ALL,President of the US,,WRI
Wakulla,Fox,0,ALL,President of the US,,WRI
Walton,Trump,38960,ALL,President of the US,,REP
Walton,Harris,10285,ALL,President of the US,,DEM
Walton,Oliver,180,ALL,President of the US,,LIB
Walton,DelaCruz,19,ALL,President of the US,,PSL
Walton,Terry,22,ALL,President of the US,,CPF
Walton,Sonski,26,ALL,President of the US,,ASP
Walton,Stein,97,ALL,President of the US,,GRN
Walton,Ayyadurai,0,ALL,President of the US,,WRI
Walton,Fox,0,ALL,President of the US,,WRI
Washington,Trump,10370,ALL,President of the US,,REP
Washington,Harris,2140,ALL,President of the US,,DEM
Washington,Oliver,30,ALL,President of the US,,LIB
Washington,DelaCruz,12,ALL,President of the US,,PSL
Washington,Terry,8,ALL,President of the US,,CPF
Washington,Sonski,2,ALL,President of the US,,ASP
Washington,Stein,22,ALL,President of the US,,GRN
Washington,Ayyadurai,0,ALL,President of the US,,WRI
Washington,Fox,0,ALL,President of the US,,WRI
