county,candidate,votes,precinct,office,district,party
BANDERA,Sonski,3,ALL,President of the US,,OTH
BANDERA,West,5,ALL,President of the US,,OTH
BASTROP,Trump,23276,ALL,President of the US,,REP
BASTROP,Harris,15941,ALL,President of the US,,DEM
BASTROP,Oliver,299,ALL,President of the US,,LIB
BASTROP,Stein,199,ALL,President of the US,,GRN
BASTROP,Ayyadurai,1,ALL,President of the US,,OTH
BASTROP,Cuellar,0,ALL,President of the US,,OTH
BASTROP,DeLaCruz,4,ALL,President of the US,,OTH
BASTROP,Fox,0,ALL,President of the US,,OTH
BASTROP,Sonski,7,ALL,President of the US,,OTH
BASTROP,West,6,ALL,President of the US,,OTH
BAYLOR,Trump,1467,ALL,President of the US,,REP
BAYLOR,Harris,184,ALL,President of the US,,DEM
BAYLOR,Oliver,7,ALL,President of the US,,LIB
BAYLOR,Stein,8,ALL,President of the US,,GRN
BAYLOR,Ayyadurai,5,ALL,President of the US,,OTH
BAYLOR,Cuellar,0,ALL,President of the US,,OTH
BAYLOR,DeLaCruz,0,ALL,President of the US,,OTH
BAYLOR,Fox,0,ALL,President of the US,,OTH
BAYLOR,Sonski,0,ALL,President of the US,,OTH
BAYLOR,West,0,ALL,President of the US,,OTH
BEE,Trump,6107,ALL,President of the US,,REP
BEE,Harris,2597,ALL,President of the US,,DEM
BEE,Oliver,40,ALL,President of the US,,LIB
BEE,Stein,32,ALL,President of the US,,GRN
BEE,Ayyadurai,0,ALL,President of the US,,OTH
BEE,Cuellar,0,ALL,President of the US,,OTH
BEE,DeLaCruz,0,ALL,President of the US,,OTH
BEE,Fox,0,ALL,President of the US,,OTH
BEE,Sonski,1,ALL,President of the US,,OTH
BEE,West,0,ALL,President of the US,,OTH
BELL,Trump,75031,ALL,President of the US,,REP
BELL,Harris,53800,ALL,President of the US,,DEM
BELL,Oliver,844,ALL,President of the US,,LIB
BELL,Stein,575,ALL,President of the US,,GRN
BELL,Ayyadurai,1,ALL,President of the US,,OTH
BELL,Cuellar,3,ALL,President of the US,,OTH
BELL,DeLaCruz,16,ALL,President of the US,,OTH
BELL,Fox,0,ALL,President of the US,,OTH
BELL,Sonski,47,ALL,President of the US,,OTH
BELL,West,38,ALL,President of the US,,OTH
BEXAR,Trump,336260,ALL,President of the US,,REP
BEXAR,Harris,408981,ALL,President of the US,,DEM
BEXAR,Oliver,4267,ALL,President of the US,,LIB
BEXAR,Stein,4275,ALL,President of the US,,GRN
BEXAR,Ayyadurai,35,ALL,President of the US,,OTH
BEXAR,Cuellar,4,ALL,President of the US,,OTH
BEXAR,DeLaCruz,207,ALL,President of the US,,OTH
BEXAR,Fox,2,ALL,President of the US,,OTH
BEXAR,Sonski,181,ALL,President of the US,,OTH
BEXAR,West,94,ALL,President of the US,,OTH
BLANCO,Trump,6384,ALL,President of the US,,REP
BLANCO,Harris,1952,ALL,President of the US,,DEM
BLANCO,Oliver,67,ALL,President of the US,,LIB
BLANCO,Stein,31,ALL,President of the US,,GRN
BLANCO,Ayyadurai,0,ALL,President of the US,,OTH
BLANCO,Cuellar,0,ALL,President of the US,,OTH
BLANCO,DeLaCruz,1,ALL,President of the US,,OTH
BLANCO,Fox,0,ALL,President of the US,,OTH
BLANCO,Sonski,4,ALL,President of the US,,OTH
BLANCO,West,0,ALL,President of the US,,OTH
BORDEN,Trump,370,ALL,President of the US,,REP
BORDEN,Harris,16,ALL,President of the US,,DEM
BORDEN,Oliver,1,ALL,President of the US,,LIB
BORDEN,Stein,0,ALL,President of the US,,GRN
BORDEN,Ayyadurai,0,ALL,President of the US,,OTH
BORDEN,Cuellar,0,ALL,President of the US,,OTH
BORDEN,DeLaCruz,0,ALL,President of the US,,OTH
BORDEN,Fox,0,ALL,President of the US,,OTH
BORDEN,Sonski,0,ALL,President of the US,,OTH
BORDEN,West,0,ALL,President of the US,,OTH
BOSQUE,Trump,7963,ALL,President of the US,,REP
BOSQUE,Harris,1519,ALL,President of the US,,DEM
BOSQUE,Oliver,51,ALL,President of the US,,LIB
BOSQUE,Stein,27,ALL,President of the US,,GRN
BOSQUE,Ayyadurai,1,ALL,President of the US,,OTH
BOSQUE,Cuellar,0,ALL,President of the US,,OTH
BOSQUE,DeLaCruz,1,ALL,President of the US,,OTH
BOSQUE,Fox,0,ALL,President of the US,,OTH
BOSQUE,Sonski,1,ALL,President of the US,,OTH
BOSQUE,West,2,ALL,President of the US,,OTH
BOWIE,Trump,27057,ALL,President of the US,,REP
BOWIE,Harris,9237,ALL,President of the US,,DEM
BOWIE,Oliver,138,ALL,President of the US,,LIB
BOWIE,Stein,87,ALL,President of the US,,GRN
BOWIE,Ayyadurai,1,ALL,President of the US,,OTH
BOWIE,Cuellar,0,ALL,President of the US,,OTH
BOWIE,DeLaCruz,1,ALL,President of the US,,OTH
BOWIE,Fox,0,ALL,President of the US,,OTH
BOWIE,Sonski,10,ALL,President of the US,,OTH
BOWIE,West,3,ALL,President of the US,,OTH
BRAZORIA,Trump,95769,ALL,President of the US,,REP
BRAZORIA,Harris,63849,ALL,President of the US,,DEM
BRAZORIA,Oliver,929,ALL,President of the US,,LIB
BRAZORIA,Stein,1173,ALL,President of the US,,GRN
BRAZORIA,Ayyadurai,6,ALL,President of the US,,OTH
BRAZORIA,Cuellar,0,ALL,President of the US,,OTH
BRAZORIA,DeLaCruz,19,ALL,President of the US,,OTH
BRAZORIA,Fox,0,ALL,President of the US,,OTH
BRAZORIA,Sonski,40,ALL,President of the US,,OTH
BRAZORIA,West,31,ALL,President of the US,,OTH
BRAZOS,Trump,56544,ALL,President of the US,,REP
BRAZOS,Harris,33671,ALL,President of the US,,DEM
BRAZOS,Oliver,794,ALL,President of the US,,LIB
BRAZOS,Stein,535,ALL,President of the US,,GRN
BRAZOS,Ayyadurai,3,ALL,President of the US,,OTH
BRAZOS,Cuellar,0,ALL,President of the US,,OTH
BRAZOS,DeLaCruz,17,ALL,President of the US,,OTH
BRAZOS,Fox,1,ALL,President of the US,,OTH
BRAZOS,Sonski,84,ALL,President of the US,,OTH
BRAZOS,West,7,ALL,President of the US,,OTH
BREWSTER,Trump,2537,ALL,President of the US,,REP
BREWSTER,Harris,1967,ALL,President of the US,,DEM
BREWSTER,Oliver,40,ALL,President of the US,,LIB
BREWSTER,Stein,22,ALL,President of the US,,GRN
BREWSTER,Ayyadurai,0,ALL,President of the US,,OTH
BREWSTER,Cuellar,0,ALL,President of the US,,OTH
BREWSTER,DeLaCruz,1,ALL,President of the US,,OTH
BREWSTER,Fox,0,ALL,President of the US,,OTH
BREWSTER,Sonski,1,ALL,President of the US,,OTH
BREWSTER,West,0,ALL,President of the US,,OTH
BRISCOE,Trump,666,ALL,President of the US,,REP
BRISCOE,Harris,72,ALL,President of the US,,DEM
BRISCOE,Oliver,4,ALL,President of the US,,LIB
BRISCOE,Stein,2,ALL,President of the US,,GRN
BRISCOE,Ayyadurai,1,ALL,President of the US,,OTH
BRISCOE,Cuellar,0,ALL,President of the US,,OTH
BRISCOE,DeLaCruz,0,ALL,President of the US,,OTH
BRISCOE,Fox,0,ALL,President of the US,,OTH
BRISCOE,Sonski,0,ALL,President of the US,,OTH
BRISCOE,West,0,ALL,President of the US,,OTH
BROOKS,Trump,1077,ALL,President of the US,,REP
BROOKS,Harris,1308,ALL,President of the US,,DEM
BROOKS,Oliver,8,ALL,President of the US,,LIB
BROOKS,Stein,9,ALL,President of the US,,GRN
BROOKS,Ayyadurai,0,ALL,President of the US,,OTH
BROOKS,Cuellar,0,ALL,President of the US,,OTH
BROOKS,DeLaCruz,0,ALL,President of the US,,OTH
BROOKS,Fox,0,ALL,President of the US,,OTH
BROOKS,Sonski,0,ALL,President of the US,,OTH
BROOKS,West,0,ALL,President of the US,,OTH
BROWN,Trump,14591,ALL,President of the US,,REP
BROWN,Harris,2131,ALL,President of the US,,DEM
BROWN,Oliver,80,ALL,President of the US,,LIB
BROWN,Stein,48,ALL,President of the US,,GRN
BROWN,Ayyadurai,0,ALL,President of the US,,OTH
BROWN,Cuellar,0,ALL,President of the US,,OTH
BROWN,DeLaCruz,0,ALL,President of the US,,OTH
BROWN,Fox,0,ALL,President of the US,,OTH
BROWN,Sonski,0,ALL,President of the US,,OTH
BROWN,West,0,ALL,President of the US,,OTH
BURLESON,Trump,7586,ALL,President of the US,,REP
BURLESON,Harris,1703,ALL,President of the US,,DEM
BURLESON,Oliver,52,ALL,President of the US,,LIB
BURLESON,Stein,18,ALL,President of the US,,GRN
BURLESON,Ayyadurai,1,ALL,President of the US,,OTH
BURLESON,Cuellar,0,ALL,President of the US,,OTH
BURLESON,DeLaCruz,2,ALL,President of the US,,OTH
BURLESON,Fox,0,ALL,President of the US,,OTH
BURLESON,Sonski,0,ALL,President of the US,,OTH
BURLESON,West,1,ALL,President of the US,,OTH
BURNET,Trump,21689,ALL,President of the US,,REP
BURNET,Harris,6018,ALL,President of the US,,DEM
BURNET,Oliver,172,ALL,President of the US,,LIB
BURNET,Stein,66,ALL,President of the US,,GRN
BURNET,Ayyadurai,3,ALL,President of the US,,OTH
BURNET,Cuellar,0,ALL,President of the US,,OTH
BURNET,DeLaCruz,0,ALL,President of the US,,OTH
BURNET,Fox,0,ALL,President of the US,,OTH
BURNET,Sonski,2,ALL,President of the US,,OTH
BURNET,West,0,ALL,President of the US,,OTH
CALDWELL,Trump,8825,ALL,President of the US,,REP
